date,leaves,flowers,watered,before_water,inside_temp,out_temp_low,out_temp_high,sunrise,sundown,hours_light,observed,present_weight
2022-03-09,4,5,1,935,21.5,-2,4,6:16,17:52,11:36,sunny,1120
2022-03-10,4,5,0,,21.5,-4,2,6:14,17:54,11:40,sunny,1093
2022-03-11,4,5,0,,21.5,-1,1,6:12,17:55,11:43,cloudy,1071
2022-03-12,4,5,0,,21.5,-11,-1,7:11,17:56,10:45,cloudy,1056
2022-03-13,4,5,0,,21.5,-9,-4,7:09,18:56,11:47,sunny,1042
2022-03-14,4,5,0,,21,-4,3,7:09,18:59,11:50,sunny,1028
2022-03-15,4,5,0,,21.5,-4,2,7:07,19:01,11:54,sunny,1017
2022-03-16,4,5,0,,21.5,-2,6,7:05,19:02,11:57,sunny,1008
2022-03-17,4,5,0,,21.5,3,9,7:03,19:03,12:00,sunny,998
2022-03-18,4,5,1,987,21,2,9,7:01,19:05,12:04,sunny,1172
2022-03-19,4,5,0,,21,2,10,6:59,19:06,12:07,cloudy,1160
2022-03-20,4,5,0,,20,1,6,6:58,19:07,12:09,cloudy,1144
2022-03-21,4,5,0,,21,-4,6,6:56,19:08,12:12,sunny,1129
2022-03-22,4,5,0,,21,-4,3,6:54,19:10,12:16,sunny,1115
2022-03-23,4,5,0,,21.5,2,4,6:52,19:11,12:19,cloudy,1100
2022-03-24,4,5,0,,21.5,2,6,6:50,19:12,12:22,cloudy,1089
2022-03-25,4,5,0,,21,2,9,6:48,19:14,12:26,cloudy,1078
2022-03-26,4,5,0,,,,,,,,,
2022-03-27,4,5,0,,,,,,,,,